defect_type,image_name,image_path,anomaly_score,label,is_anomaly
contamination,017,datasets/mvtec_anomaly_detection/bottle/test/contamination/017.png,110.014877,1,Anomaly
contamination,015,datasets/mvtec_anomaly_detection/bottle/test/contamination/015.png,109.500916,1,Anomaly
contamination,018,datasets/mvtec_anomaly_detection/bottle/test/contamination/018.png,108.439781,1,Anomaly
broken_small,018,datasets/mvtec_anomaly_detection/bottle/test/broken_small/018.png,107.133507,1,Anomaly
broken_small,003,datasets/mvtec_anomaly_detection/bottle/test/broken_small/003.png,106.366074,1,Anomaly
contamination,006,datasets/mvtec_anomaly_detection/bottle/test/contamination/006.png,105.961929,1,Anomaly
broken_small,016,datasets/mvtec_anomaly_detection/bottle/test/broken_small/016.png,105.774033,1,Anomaly
broken_large,014,datasets/mvtec_anomaly_detection/bottle/test/broken_large/014.png,105.368645,1,Anomaly
broken_large,001,datasets/mvtec_anomaly_detection/bottle/test/broken_large/001.png,104.831322,1,Anomaly
broken_large,003,datasets/mvtec_anomaly_detection/bottle/test/broken_large/003.png,104.670776,1,Anomaly
broken_small,004,datasets/mvtec_anomaly_detection/bottle/test/broken_small/004.png,104.319908,1,Anomaly
broken_large,006,datasets/mvtec_anomaly_detection/bottle/test/broken_large/006.png,104.222374,1,Anomaly
broken_small,017,datasets/mvtec_anomaly_detection/bottle/test/broken_small/017.png,104.210808,1,Anomaly
contamination,010,datasets/mvtec_anomaly_detection/bottle/test/contamination/010.png,103.600128,1,Anomaly
broken_large,015,datasets/mvtec_anomaly_detection/bottle/test/broken_large/015.png,103.513206,1,Anomaly
contamination,008,datasets/mvtec_anomaly_detection/bottle/test/contamination/008.png,103.425781,1,Anomaly
broken_small,009,datasets/mvtec_anomaly_detection/bottle/test/broken_small/009.png,103.337402,1,Anomaly
broken_large,017,datasets/mvtec_anomaly_detection/bottle/test/broken_large/017.png,103.328049,1,Anomaly
broken_small,012,datasets/mvtec_anomaly_detection/bottle/test/broken_small/012.png,102.768051,1,Anomaly
broken_small,021,datasets/mvtec_anomaly_detection/bottle/test/broken_small/021.png,102.758995,1,Anomaly
broken_small,001,datasets/mvtec_anomaly_detection/bottle/test/broken_small/001.png,102.613037,1,Anomaly
broken_large,008,datasets/mvtec_anomaly_detection/bottle/test/broken_large/008.png,102.335297,1,Anomaly
contamination,009,datasets/mvtec_anomaly_detection/bottle/test/contamination/009.png,102.136337,1,Anomaly
contamination,004,datasets/mvtec_anomaly_detection/bottle/test/contamination/004.png,102.064102,1,Anomaly
broken_large,002,datasets/mvtec_anomaly_detection/bottle/test/broken_large/002.png,101.581802,1,Anomaly
broken_small,006,datasets/mvtec_anomaly_detection/bottle/test/broken_small/006.png,101.578522,1,Anomaly
broken_small,000,datasets/mvtec_anomaly_detection/bottle/test/broken_small/000.png,101.384171,1,Anomaly
broken_large,011,datasets/mvtec_anomaly_detection/bottle/test/broken_large/011.png,101.026543,1,Anomaly
broken_small,007,datasets/mvtec_anomaly_detection/bottle/test/broken_small/007.png,99.368530,1,Anomaly
contamination,001,datasets/mvtec_anomaly_detection/bottle/test/contamination/001.png,98.817284,1,Anomaly
good,017,datasets/mvtec_anomaly_detection/bottle/test/good/017.png,94.848656,0,Normal
good,018,datasets/mvtec_anomaly_detection/bottle/test/good/018.png,93.603661,0,Normal
good,015,datasets/mvtec_anomaly_detection/bottle/test/good/015.png,93.516922,0,Normal
good,013,datasets/mvtec_anomaly_detection/bottle/test/good/013.png,92.471176,0,Normal
good,002,datasets/mvtec_anomaly_detection/bottle/test/good/002.png,91.904961,0,Normal
good,016,datasets/mvtec_anomaly_detection/bottle/test/good/016.png,91.778954,0,Normal
good,000,datasets/mvtec_anomaly_detection/bottle/test/good/000.png,91.428970,0,Normal
good,003,datasets/mvtec_anomaly_detection/bottle/test/good/003.png,91.000023,0,Normal
good,011,datasets/mvtec_anomaly_detection/bottle/test/good/011.png,90.866089,0,Normal
good,008,datasets/mvtec_anomaly_detection/bottle/test/good/008.png,90.832153,0,Normal
good,014,datasets/mvtec_anomaly_detection/bottle/test/good/014.png,90.584160,0,Normal
good,010,datasets/mvtec_anomaly_detection/bottle/test/good/010.png,89.757401,0,Normal
