defect_type,image_name,image_path,anomaly_score,label,is_anomaly
missing_cable,006,datasets/mvtec_anomaly_detection/cable/test/missing_cable/006.png,2.040431,1,Anomaly
missing_cable,007,datasets/mvtec_anomaly_detection/cable/test/missing_cable/007.png,2.006164,1,Anomaly
missing_cable,008,datasets/mvtec_anomaly_detection/cable/test/missing_cable/008.png,1.961347,1,Anomaly
bent_wire,007,datasets/mvtec_anomaly_detection/cable/test/bent_wire/007.png,1.920587,1,Anomaly
bent_wire,005,datasets/mvtec_anomaly_detection/cable/test/bent_wire/005.png,1.910719,1,Anomaly
bent_wire,003,datasets/mvtec_anomaly_detection/cable/test/bent_wire/003.png,1.903623,1,Anomaly
cut_inner_insulation,010,datasets/mvtec_anomaly_detection/cable/test/cut_inner_insulation/010.png,1.881159,1,Anomaly
missing_cable,001,datasets/mvtec_anomaly_detection/cable/test/missing_cable/001.png,1.821341,1,Anomaly
cut_inner_insulation,012,datasets/mvtec_anomaly_detection/cable/test/cut_inner_insulation/012.png,1.784488,1,Anomaly
missing_cable,003,datasets/mvtec_anomaly_detection/cable/test/missing_cable/003.png,1.764943,1,Anomaly
bent_wire,006,datasets/mvtec_anomaly_detection/cable/test/bent_wire/006.png,1.710709,1,Anomaly
missing_cable,011,datasets/mvtec_anomaly_detection/cable/test/missing_cable/011.png,1.654530,1,Anomaly
good,030,datasets/mvtec_anomaly_detection/cable/test/good/030.png,1.625034,0,Normal
cut_inner_insulation,002,datasets/mvtec_anomaly_detection/cable/test/cut_inner_insulation/002.png,1.481138,1,Anomaly
bent_wire,002,datasets/mvtec_anomaly_detection/cable/test/bent_wire/002.png,1.477516,1,Anomaly
bent_wire,001,datasets/mvtec_anomaly_detection/cable/test/bent_wire/001.png,1.472067,1,Anomaly
missing_cable,002,datasets/mvtec_anomaly_detection/cable/test/missing_cable/002.png,1.454092,1,Anomaly
cut_outer_insulation,000,datasets/mvtec_anomaly_detection/cable/test/cut_outer_insulation/000.png,1.392725,1,Anomaly
poke_insulation,004,datasets/mvtec_anomaly_detection/cable/test/poke_insulation/004.png,1.390368,1,Anomaly
poke_insulation,008,datasets/mvtec_anomaly_detection/cable/test/poke_insulation/008.png,1.369377,1,Anomaly
missing_wire,009,datasets/mvtec_anomaly_detection/cable/test/missing_wire/009.png,1.344909,1,Anomaly
missing_wire,004,datasets/mvtec_anomaly_detection/cable/test/missing_wire/004.png,1.344241,1,Anomaly
missing_wire,005,datasets/mvtec_anomaly_detection/cable/test/missing_wire/005.png,1.322068,1,Anomaly
combined,010,datasets/mvtec_anomaly_detection/cable/test/combined/010.png,1.321174,1,Anomaly
cut_inner_insulation,007,datasets/mvtec_anomaly_detection/cable/test/cut_inner_insulation/007.png,1.306731,1,Anomaly
poke_insulation,007,datasets/mvtec_anomaly_detection/cable/test/poke_insulation/007.png,1.286855,1,Anomaly
cut_inner_insulation,001,datasets/mvtec_anomaly_detection/cable/test/cut_inner_insulation/001.png,1.232621,1,Anomaly
cut_outer_insulation,003,datasets/mvtec_anomaly_detection/cable/test/cut_outer_insulation/003.png,1.220979,1,Anomaly
cut_inner_insulation,013,datasets/mvtec_anomaly_detection/cable/test/cut_inner_insulation/013.png,1.220549,1,Anomaly
good,001,datasets/mvtec_anomaly_detection/cable/test/good/001.png,1.219218,0,Normal
cut_outer_insulation,002,datasets/mvtec_anomaly_detection/cable/test/cut_outer_insulation/002.png,1.207332,1,Anomaly
missing_wire,006,datasets/mvtec_anomaly_detection/cable/test/missing_wire/006.png,1.203806,1,Anomaly
good,038,datasets/mvtec_anomaly_detection/cable/test/good/038.png,1.174647,0,Normal
good,040,datasets/mvtec_anomaly_detection/cable/test/good/040.png,1.173487,0,Normal
good,055,datasets/mvtec_anomaly_detection/cable/test/good/055.png,1.160802,0,Normal
cut_outer_insulation,007,datasets/mvtec_anomaly_detection/cable/test/cut_outer_insulation/007.png,1.159861,1,Anomaly
bent_wire,008,datasets/mvtec_anomaly_detection/cable/test/bent_wire/008.png,1.146955,1,Anomaly
cable_swap,007,datasets/mvtec_anomaly_detection/cable/test/cable_swap/007.png,1.144596,1,Anomaly
cable_swap,000,datasets/mvtec_anomaly_detection/cable/test/cable_swap/000.png,1.141669,1,Anomaly
combined,009,datasets/mvtec_anomaly_detection/cable/test/combined/009.png,1.132487,1,Anomaly
good,028,datasets/mvtec_anomaly_detection/cable/test/good/028.png,1.118978,0,Normal
good,043,datasets/mvtec_anomaly_detection/cable/test/good/043.png,1.082038,0,Normal
cut_inner_insulation,005,datasets/mvtec_anomaly_detection/cable/test/cut_inner_insulation/005.png,1.080091,1,Anomaly
cut_outer_insulation,009,datasets/mvtec_anomaly_detection/cable/test/cut_outer_insulation/009.png,1.049009,1,Anomaly
poke_insulation,009,datasets/mvtec_anomaly_detection/cable/test/poke_insulation/009.png,1.018480,1,Anomaly
poke_insulation,000,datasets/mvtec_anomaly_detection/cable/test/poke_insulation/000.png,0.989141,1,Anomaly
cut_outer_insulation,008,datasets/mvtec_anomaly_detection/cable/test/cut_outer_insulation/008.png,0.987690,1,Anomaly
cable_swap,004,datasets/mvtec_anomaly_detection/cable/test/cable_swap/004.png,0.981603,1,Anomaly
good,033,datasets/mvtec_anomaly_detection/cable/test/good/033.png,0.980020,0,Normal
good,019,datasets/mvtec_anomaly_detection/cable/test/good/019.png,0.964429,0,Normal
good,029,datasets/mvtec_anomaly_detection/cable/test/good/029.png,0.951894,0,Normal
cable_swap,001,datasets/mvtec_anomaly_detection/cable/test/cable_swap/001.png,0.937430,1,Anomaly
good,039,datasets/mvtec_anomaly_detection/cable/test/good/039.png,0.901460,0,Normal
good,010,datasets/mvtec_anomaly_detection/cable/test/good/010.png,0.892775,0,Normal
missing_wire,000,datasets/mvtec_anomaly_detection/cable/test/missing_wire/000.png,0.887007,1,Anomaly
cut_outer_insulation,004,datasets/mvtec_anomaly_detection/cable/test/cut_outer_insulation/004.png,0.885417,1,Anomaly
good,047,datasets/mvtec_anomaly_detection/cable/test/good/047.png,0.882847,0,Normal
good,012,datasets/mvtec_anomaly_detection/cable/test/good/012.png,0.870667,0,Normal
good,052,datasets/mvtec_anomaly_detection/cable/test/good/052.png,0.863836,0,Normal
good,020,datasets/mvtec_anomaly_detection/cable/test/good/020.png,0.861940,0,Normal
cable_swap,008,datasets/mvtec_anomaly_detection/cable/test/cable_swap/008.png,0.851927,1,Anomaly
good,051,datasets/mvtec_anomaly_detection/cable/test/good/051.png,0.824355,0,Normal
good,054,datasets/mvtec_anomaly_detection/cable/test/good/054.png,0.821810,0,Normal
good,056,datasets/mvtec_anomaly_detection/cable/test/good/056.png,0.819719,0,Normal
good,003,datasets/mvtec_anomaly_detection/cable/test/good/003.png,0.807487,0,Normal
good,032,datasets/mvtec_anomaly_detection/cable/test/good/032.png,0.804050,0,Normal
good,024,datasets/mvtec_anomaly_detection/cable/test/good/024.png,0.764405,0,Normal
good,011,datasets/mvtec_anomaly_detection/cable/test/good/011.png,0.764320,0,Normal
good,023,datasets/mvtec_anomaly_detection/cable/test/good/023.png,0.731102,0,Normal
good,017,datasets/mvtec_anomaly_detection/cable/test/good/017.png,0.720346,0,Normal
good,014,datasets/mvtec_anomaly_detection/cable/test/good/014.png,0.708709,0,Normal
good,046,datasets/mvtec_anomaly_detection/cable/test/good/046.png,0.639868,0,Normal
good,042,datasets/mvtec_anomaly_detection/cable/test/good/042.png,0.632802,0,Normal
good,027,datasets/mvtec_anomaly_detection/cable/test/good/027.png,0.598136,0,Normal
good,031,datasets/mvtec_anomaly_detection/cable/test/good/031.png,0.589297,0,Normal
