defect_type,image_name,image_path,anomaly_score,label,is_anomaly
crack,001,datasets/mvtec_anomaly_detection/capsule/test/crack/001.png,3.052845,1,Anomaly
squeeze,008,datasets/mvtec_anomaly_detection/capsule/test/squeeze/008.png,2.813360,1,Anomaly
squeeze,000,datasets/mvtec_anomaly_detection/capsule/test/squeeze/000.png,2.747118,1,Anomaly
squeeze,006,datasets/mvtec_anomaly_detection/capsule/test/squeeze/006.png,2.737152,1,Anomaly
faulty_imprint,006,datasets/mvtec_anomaly_detection/capsule/test/faulty_imprint/006.png,2.617255,1,Anomaly
squeeze,009,datasets/mvtec_anomaly_detection/capsule/test/squeeze/009.png,2.571563,1,Anomaly
faulty_imprint,015,datasets/mvtec_anomaly_detection/capsule/test/faulty_imprint/015.png,2.445714,1,Anomaly
squeeze,018,datasets/mvtec_anomaly_detection/capsule/test/squeeze/018.png,2.435888,1,Anomaly
squeeze,013,datasets/mvtec_anomaly_detection/capsule/test/squeeze/013.png,2.404689,1,Anomaly
squeeze,017,datasets/mvtec_anomaly_detection/capsule/test/squeeze/017.png,2.384080,1,Anomaly
poke,020,datasets/mvtec_anomaly_detection/capsule/test/poke/020.png,2.380200,1,Anomaly
poke,004,datasets/mvtec_anomaly_detection/capsule/test/poke/004.png,2.378995,1,Anomaly
faulty_imprint,020,datasets/mvtec_anomaly_detection/capsule/test/faulty_imprint/020.png,2.357594,1,Anomaly
crack,007,datasets/mvtec_anomaly_detection/capsule/test/crack/007.png,2.329923,1,Anomaly
faulty_imprint,000,datasets/mvtec_anomaly_detection/capsule/test/faulty_imprint/000.png,2.327038,1,Anomaly
crack,017,datasets/mvtec_anomaly_detection/capsule/test/crack/017.png,2.304526,1,Anomaly
squeeze,012,datasets/mvtec_anomaly_detection/capsule/test/squeeze/012.png,2.276591,1,Anomaly
squeeze,003,datasets/mvtec_anomaly_detection/capsule/test/squeeze/003.png,2.265062,1,Anomaly
squeeze,019,datasets/mvtec_anomaly_detection/capsule/test/squeeze/019.png,2.248429,1,Anomaly
scratch,014,datasets/mvtec_anomaly_detection/capsule/test/scratch/014.png,2.220913,1,Anomaly
scratch,002,datasets/mvtec_anomaly_detection/capsule/test/scratch/002.png,2.199234,1,Anomaly
squeeze,001,datasets/mvtec_anomaly_detection/capsule/test/squeeze/001.png,2.184676,1,Anomaly
scratch,008,datasets/mvtec_anomaly_detection/capsule/test/scratch/008.png,2.123152,1,Anomaly
scratch,020,datasets/mvtec_anomaly_detection/capsule/test/scratch/020.png,2.110749,1,Anomaly
poke,019,datasets/mvtec_anomaly_detection/capsule/test/poke/019.png,2.097130,1,Anomaly
squeeze,004,datasets/mvtec_anomaly_detection/capsule/test/squeeze/004.png,2.091852,1,Anomaly
faulty_imprint,014,datasets/mvtec_anomaly_detection/capsule/test/faulty_imprint/014.png,2.081008,1,Anomaly
poke,016,datasets/mvtec_anomaly_detection/capsule/test/poke/016.png,2.078013,1,Anomaly
scratch,015,datasets/mvtec_anomaly_detection/capsule/test/scratch/015.png,2.032773,1,Anomaly
scratch,010,datasets/mvtec_anomaly_detection/capsule/test/scratch/010.png,1.988115,1,Anomaly
scratch,003,datasets/mvtec_anomaly_detection/capsule/test/scratch/003.png,1.982603,1,Anomaly
good,007,datasets/mvtec_anomaly_detection/capsule/test/good/007.png,1.957419,0,Normal
crack,014,datasets/mvtec_anomaly_detection/capsule/test/crack/014.png,1.947846,1,Anomaly
faulty_imprint,018,datasets/mvtec_anomaly_detection/capsule/test/faulty_imprint/018.png,1.863713,1,Anomaly
scratch,017,datasets/mvtec_anomaly_detection/capsule/test/scratch/017.png,1.839436,1,Anomaly
poke,014,datasets/mvtec_anomaly_detection/capsule/test/poke/014.png,1.788572,1,Anomaly
poke,007,datasets/mvtec_anomaly_detection/capsule/test/poke/007.png,1.775970,1,Anomaly
poke,005,datasets/mvtec_anomaly_detection/capsule/test/poke/005.png,1.761463,1,Anomaly
poke,003,datasets/mvtec_anomaly_detection/capsule/test/poke/003.png,1.755604,1,Anomaly
scratch,018,datasets/mvtec_anomaly_detection/capsule/test/scratch/018.png,1.712934,1,Anomaly
crack,002,datasets/mvtec_anomaly_detection/capsule/test/crack/002.png,1.710491,1,Anomaly
crack,020,datasets/mvtec_anomaly_detection/capsule/test/crack/020.png,1.698449,1,Anomaly
poke,018,datasets/mvtec_anomaly_detection/capsule/test/poke/018.png,1.654642,1,Anomaly
scratch,022,datasets/mvtec_anomaly_detection/capsule/test/scratch/022.png,1.601551,1,Anomaly
crack,021,datasets/mvtec_anomaly_detection/capsule/test/crack/021.png,1.585808,1,Anomaly
crack,006,datasets/mvtec_anomaly_detection/capsule/test/crack/006.png,1.575952,1,Anomaly
scratch,013,datasets/mvtec_anomaly_detection/capsule/test/scratch/013.png,1.511945,1,Anomaly
faulty_imprint,009,datasets/mvtec_anomaly_detection/capsule/test/faulty_imprint/009.png,1.455027,1,Anomaly
poke,006,datasets/mvtec_anomaly_detection/capsule/test/poke/006.png,1.431617,1,Anomaly
poke,011,datasets/mvtec_anomaly_detection/capsule/test/poke/011.png,1.415006,1,Anomaly
good,016,datasets/mvtec_anomaly_detection/capsule/test/good/016.png,1.411913,0,Normal
crack,003,datasets/mvtec_anomaly_detection/capsule/test/crack/003.png,1.405143,1,Anomaly
scratch,016,datasets/mvtec_anomaly_detection/capsule/test/scratch/016.png,1.394934,1,Anomaly
good,012,datasets/mvtec_anomaly_detection/capsule/test/good/012.png,1.392457,0,Normal
crack,008,datasets/mvtec_anomaly_detection/capsule/test/crack/008.png,1.367179,1,Anomaly
crack,013,datasets/mvtec_anomaly_detection/capsule/test/crack/013.png,1.347534,1,Anomaly
scratch,021,datasets/mvtec_anomaly_detection/capsule/test/scratch/021.png,1.213768,1,Anomaly
good,013,datasets/mvtec_anomaly_detection/capsule/test/good/013.png,1.209533,0,Normal
good,014,datasets/mvtec_anomaly_detection/capsule/test/good/014.png,1.078780,0,Normal
scratch,001,datasets/mvtec_anomaly_detection/capsule/test/scratch/001.png,0.996936,1,Anomaly
good,005,datasets/mvtec_anomaly_detection/capsule/test/good/005.png,0.970761,0,Normal
good,003,datasets/mvtec_anomaly_detection/capsule/test/good/003.png,0.967939,0,Normal
good,015,datasets/mvtec_anomaly_detection/capsule/test/good/015.png,0.887616,0,Normal
good,009,datasets/mvtec_anomaly_detection/capsule/test/good/009.png,0.874152,0,Normal
good,018,datasets/mvtec_anomaly_detection/capsule/test/good/018.png,0.787015,0,Normal
good,001,datasets/mvtec_anomaly_detection/capsule/test/good/001.png,0.692986,0,Normal
