defect_type,image_name,image_path,anomaly_score,label,is_anomaly
color,008,datasets/mvtec_anomaly_detection/carpet/test/color/008.png,311.399872,1,Anomaly
metal_contamination,007,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/007.png,297.419128,1,Anomaly
thread,007,datasets/mvtec_anomaly_detection/carpet/test/thread/007.png,294.679810,1,Anomaly
metal_contamination,006,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/006.png,294.383057,1,Anomaly
thread,008,datasets/mvtec_anomaly_detection/carpet/test/thread/008.png,293.848175,1,Anomaly
thread,005,datasets/mvtec_anomaly_detection/carpet/test/thread/005.png,291.892578,1,Anomaly
thread,010,datasets/mvtec_anomaly_detection/carpet/test/thread/010.png,291.523804,1,Anomaly
metal_contamination,010,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/010.png,291.405975,1,Anomaly
metal_contamination,016,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/016.png,290.759460,1,Anomaly
metal_contamination,009,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/009.png,289.119843,1,Anomaly
thread,002,datasets/mvtec_anomaly_detection/carpet/test/thread/002.png,288.185730,1,Anomaly
metal_contamination,005,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/005.png,287.908325,1,Anomaly
cut,010,datasets/mvtec_anomaly_detection/carpet/test/cut/010.png,287.839539,1,Anomaly
thread,004,datasets/mvtec_anomaly_detection/carpet/test/thread/004.png,287.597534,1,Anomaly
thread,000,datasets/mvtec_anomaly_detection/carpet/test/thread/000.png,286.518799,1,Anomaly
cut,002,datasets/mvtec_anomaly_detection/carpet/test/cut/002.png,286.028961,1,Anomaly
color,001,datasets/mvtec_anomaly_detection/carpet/test/color/001.png,286.019653,1,Anomaly
metal_contamination,015,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/015.png,285.778137,1,Anomaly
color,002,datasets/mvtec_anomaly_detection/carpet/test/color/002.png,285.693970,1,Anomaly
hole,014,datasets/mvtec_anomaly_detection/carpet/test/hole/014.png,284.860382,1,Anomaly
hole,007,datasets/mvtec_anomaly_detection/carpet/test/hole/007.png,284.525940,1,Anomaly
metal_contamination,012,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/012.png,284.474548,1,Anomaly
thread,011,datasets/mvtec_anomaly_detection/carpet/test/thread/011.png,284.042542,1,Anomaly
cut,006,datasets/mvtec_anomaly_detection/carpet/test/cut/006.png,283.853790,1,Anomaly
color,013,datasets/mvtec_anomaly_detection/carpet/test/color/013.png,283.524841,1,Anomaly
metal_contamination,011,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/011.png,283.516357,1,Anomaly
hole,010,datasets/mvtec_anomaly_detection/carpet/test/hole/010.png,283.112061,1,Anomaly
color,003,datasets/mvtec_anomaly_detection/carpet/test/color/003.png,283.041138,1,Anomaly
cut,001,datasets/mvtec_anomaly_detection/carpet/test/cut/001.png,282.691742,1,Anomaly
hole,015,datasets/mvtec_anomaly_detection/carpet/test/hole/015.png,282.343384,1,Anomaly
hole,011,datasets/mvtec_anomaly_detection/carpet/test/hole/011.png,280.979095,1,Anomaly
cut,013,datasets/mvtec_anomaly_detection/carpet/test/cut/013.png,280.878479,1,Anomaly
color,006,datasets/mvtec_anomaly_detection/carpet/test/color/006.png,279.475555,1,Anomaly
thread,009,datasets/mvtec_anomaly_detection/carpet/test/thread/009.png,278.358704,1,Anomaly
metal_contamination,001,datasets/mvtec_anomaly_detection/carpet/test/metal_contamination/001.png,277.601990,1,Anomaly
thread,016,datasets/mvtec_anomaly_detection/carpet/test/thread/016.png,277.007141,1,Anomaly
color,014,datasets/mvtec_anomaly_detection/carpet/test/color/014.png,276.420776,1,Anomaly
thread,015,datasets/mvtec_anomaly_detection/carpet/test/thread/015.png,273.877441,1,Anomaly
thread,018,datasets/mvtec_anomaly_detection/carpet/test/thread/018.png,269.580902,1,Anomaly
cut,004,datasets/mvtec_anomaly_detection/carpet/test/cut/004.png,263.531921,1,Anomaly
thread,001,datasets/mvtec_anomaly_detection/carpet/test/thread/001.png,262.686371,1,Anomaly
color,017,datasets/mvtec_anomaly_detection/carpet/test/color/017.png,254.896484,1,Anomaly
