defect_type,image_name,image_path,anomaly_score,label,is_anomaly
glue,005,datasets/mvtec_anomaly_detection/leather/test/glue/005.png,4.860997,1,Anomaly
cut,018,datasets/mvtec_anomaly_detection/leather/test/cut/018.png,4.791789,1,Anomaly
glue,017,datasets/mvtec_anomaly_detection/leather/test/glue/017.png,4.713327,1,Anomaly
glue,006,datasets/mvtec_anomaly_detection/leather/test/glue/006.png,4.499937,1,Anomaly
color,008,datasets/mvtec_anomaly_detection/leather/test/color/008.png,4.453766,1,Anomaly
fold,005,datasets/mvtec_anomaly_detection/leather/test/fold/005.png,4.433529,1,Anomaly
glue,014,datasets/mvtec_anomaly_detection/leather/test/glue/014.png,4.377179,1,Anomaly
glue,002,datasets/mvtec_anomaly_detection/leather/test/glue/002.png,4.321651,1,Anomaly
glue,003,datasets/mvtec_anomaly_detection/leather/test/glue/003.png,4.307648,1,Anomaly
glue,008,datasets/mvtec_anomaly_detection/leather/test/glue/008.png,4.264700,1,Anomaly
fold,008,datasets/mvtec_anomaly_detection/leather/test/fold/008.png,4.219896,1,Anomaly
fold,000,datasets/mvtec_anomaly_detection/leather/test/fold/000.png,4.169524,1,Anomaly
color,017,datasets/mvtec_anomaly_detection/leather/test/color/017.png,4.158643,1,Anomaly
cut,004,datasets/mvtec_anomaly_detection/leather/test/cut/004.png,4.133535,1,Anomaly
color,001,datasets/mvtec_anomaly_detection/leather/test/color/001.png,4.091434,1,Anomaly
color,014,datasets/mvtec_anomaly_detection/leather/test/color/014.png,4.059209,1,Anomaly
color,002,datasets/mvtec_anomaly_detection/leather/test/color/002.png,4.015367,1,Anomaly
color,003,datasets/mvtec_anomaly_detection/leather/test/color/003.png,4.007343,1,Anomaly
fold,014,datasets/mvtec_anomaly_detection/leather/test/fold/014.png,3.967597,1,Anomaly
poke,004,datasets/mvtec_anomaly_detection/leather/test/poke/004.png,3.966182,1,Anomaly
fold,010,datasets/mvtec_anomaly_detection/leather/test/fold/010.png,3.935163,1,Anomaly
color,013,datasets/mvtec_anomaly_detection/leather/test/color/013.png,3.932395,1,Anomaly
poke,013,datasets/mvtec_anomaly_detection/leather/test/poke/013.png,3.919258,1,Anomaly
poke,003,datasets/mvtec_anomaly_detection/leather/test/poke/003.png,3.865003,1,Anomaly
fold,016,datasets/mvtec_anomaly_detection/leather/test/fold/016.png,3.849695,1,Anomaly
cut,001,datasets/mvtec_anomaly_detection/leather/test/cut/001.png,3.834684,1,Anomaly
color,006,datasets/mvtec_anomaly_detection/leather/test/color/006.png,3.832726,1,Anomaly
poke,009,datasets/mvtec_anomaly_detection/leather/test/poke/009.png,3.805226,1,Anomaly
cut,013,datasets/mvtec_anomaly_detection/leather/test/cut/013.png,3.755940,1,Anomaly
