defect_type,image_name,image_path,anomaly_score,label,is_anomaly
combined,014,datasets/mvtec_anomaly_detection/pill/test/combined/014.png,233.671631,1,Anomaly
color,003,datasets/mvtec_anomaly_detection/pill/test/color/003.png,231.419113,1,Anomaly
combined,008,datasets/mvtec_anomaly_detection/pill/test/combined/008.png,231.234711,1,Anomaly
scratch,020,datasets/mvtec_anomaly_detection/pill/test/scratch/020.png,229.827393,1,Anomaly
combined,009,datasets/mvtec_anomaly_detection/pill/test/combined/009.png,229.701218,1,Anomaly
combined,010,datasets/mvtec_anomaly_detection/pill/test/combined/010.png,229.191696,1,Anomaly
scratch,010,datasets/mvtec_anomaly_detection/pill/test/scratch/010.png,228.842133,1,Anomaly
color,020,datasets/mvtec_anomaly_detection/pill/test/color/020.png,228.827087,1,Anomaly
contamination,011,datasets/mvtec_anomaly_detection/pill/test/contamination/011.png,227.430832,1,Anomaly
scratch,019,datasets/mvtec_anomaly_detection/pill/test/scratch/019.png,227.139557,1,Anomaly
scratch,018,datasets/mvtec_anomaly_detection/pill/test/scratch/018.png,226.675949,1,Anomaly
color,001,datasets/mvtec_anomaly_detection/pill/test/color/001.png,226.278000,1,Anomaly
contamination,015,datasets/mvtec_anomaly_detection/pill/test/contamination/015.png,226.163757,1,Anomaly
pill_type,000,datasets/mvtec_anomaly_detection/pill/test/pill_type/000.png,225.960190,1,Anomaly
color,021,datasets/mvtec_anomaly_detection/pill/test/color/021.png,225.199341,1,Anomaly
color,014,datasets/mvtec_anomaly_detection/pill/test/color/014.png,225.026367,1,Anomaly
faulty_imprint,017,datasets/mvtec_anomaly_detection/pill/test/faulty_imprint/017.png,224.781219,1,Anomaly
color,008,datasets/mvtec_anomaly_detection/pill/test/color/008.png,224.311935,1,Anomaly
pill_type,008,datasets/mvtec_anomaly_detection/pill/test/pill_type/008.png,224.214401,1,Anomaly
faulty_imprint,018,datasets/mvtec_anomaly_detection/pill/test/faulty_imprint/018.png,223.954636,1,Anomaly
scratch,007,datasets/mvtec_anomaly_detection/pill/test/scratch/007.png,223.903488,1,Anomaly
pill_type,003,datasets/mvtec_anomaly_detection/pill/test/pill_type/003.png,223.889023,1,Anomaly
pill_type,005,datasets/mvtec_anomaly_detection/pill/test/pill_type/005.png,223.378830,1,Anomaly
color,013,datasets/mvtec_anomaly_detection/pill/test/color/013.png,222.966095,1,Anomaly
faulty_imprint,010,datasets/mvtec_anomaly_detection/pill/test/faulty_imprint/010.png,222.247360,1,Anomaly
scratch,021,datasets/mvtec_anomaly_detection/pill/test/scratch/021.png,221.997681,1,Anomaly
contamination,016,datasets/mvtec_anomaly_detection/pill/test/contamination/016.png,221.726196,1,Anomaly
contamination,008,datasets/mvtec_anomaly_detection/pill/test/contamination/008.png,220.893616,1,Anomaly
scratch,009,datasets/mvtec_anomaly_detection/pill/test/scratch/009.png,220.814438,1,Anomaly
contamination,007,datasets/mvtec_anomaly_detection/pill/test/contamination/007.png,220.460861,1,Anomaly
crack,025,datasets/mvtec_anomaly_detection/pill/test/crack/025.png,220.418793,1,Anomaly
pill_type,004,datasets/mvtec_anomaly_detection/pill/test/pill_type/004.png,220.275070,1,Anomaly
scratch,014,datasets/mvtec_anomaly_detection/pill/test/scratch/014.png,220.131683,1,Anomaly
contamination,010,datasets/mvtec_anomaly_detection/pill/test/contamination/010.png,219.260544,1,Anomaly
scratch,002,datasets/mvtec_anomaly_detection/pill/test/scratch/002.png,218.972229,1,Anomaly
contamination,001,datasets/mvtec_anomaly_detection/pill/test/contamination/001.png,218.301682,1,Anomaly
contamination,019,datasets/mvtec_anomaly_detection/pill/test/contamination/019.png,218.112610,1,Anomaly
contamination,004,datasets/mvtec_anomaly_detection/pill/test/contamination/004.png,217.604462,1,Anomaly
color,005,datasets/mvtec_anomaly_detection/pill/test/color/005.png,217.149887,1,Anomaly
faulty_imprint,013,datasets/mvtec_anomaly_detection/pill/test/faulty_imprint/013.png,217.043747,1,Anomaly
scratch,006,datasets/mvtec_anomaly_detection/pill/test/scratch/006.png,216.315369,1,Anomaly
scratch,022,datasets/mvtec_anomaly_detection/pill/test/scratch/022.png,215.390228,1,Anomaly
