defect_type,image_name,image_path,anomaly_score,label,is_anomaly
scratch_neck,021,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/021.png,460.062561,1,Anomaly
scratch_neck,010,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/010.png,456.972351,1,Anomaly
scratch_neck,024,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/024.png,451.060669,1,Anomaly
manipulated_front,016,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/016.png,450.502686,1,Anomaly
thread_top,020,datasets/mvtec_anomaly_detection/screw/test/thread_top/020.png,450.383911,1,Anomaly
scratch_neck,003,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/003.png,447.181641,1,Anomaly
thread_top,019,datasets/mvtec_anomaly_detection/screw/test/thread_top/019.png,446.258423,1,Anomaly
scratch_neck,017,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/017.png,441.826019,1,Anomaly
manipulated_front,008,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/008.png,441.615173,1,Anomaly
scratch_neck,004,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/004.png,441.329529,1,Anomaly
thread_top,011,datasets/mvtec_anomaly_detection/screw/test/thread_top/011.png,441.216644,1,Anomaly
scratch_neck,018,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/018.png,440.967133,1,Anomaly
thread_top,008,datasets/mvtec_anomaly_detection/screw/test/thread_top/008.png,440.640350,1,Anomaly
scratch_neck,014,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/014.png,439.484070,1,Anomaly
scratch_head,015,datasets/mvtec_anomaly_detection/screw/test/scratch_head/015.png,438.921082,1,Anomaly
thread_top,007,datasets/mvtec_anomaly_detection/screw/test/thread_top/007.png,437.070770,1,Anomaly
thread_top,013,datasets/mvtec_anomaly_detection/screw/test/thread_top/013.png,435.515320,1,Anomaly
manipulated_front,022,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/022.png,434.883240,1,Anomaly
manipulated_front,007,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/007.png,432.391846,1,Anomaly
scratch_head,005,datasets/mvtec_anomaly_detection/screw/test/scratch_head/005.png,431.287811,1,Anomaly
scratch_head,007,datasets/mvtec_anomaly_detection/screw/test/scratch_head/007.png,430.691101,1,Anomaly
manipulated_front,005,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/005.png,429.726807,1,Anomaly
scratch_neck,013,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/013.png,426.624512,1,Anomaly
thread_top,022,datasets/mvtec_anomaly_detection/screw/test/thread_top/022.png,426.329071,1,Anomaly
thread_top,016,datasets/mvtec_anomaly_detection/screw/test/thread_top/016.png,424.216919,1,Anomaly
scratch_neck,002,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/002.png,423.188416,1,Anomaly
manipulated_front,013,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/013.png,423.002563,1,Anomaly
thread_top,012,datasets/mvtec_anomaly_detection/screw/test/thread_top/012.png,422.933289,1,Anomaly
scratch_head,009,datasets/mvtec_anomaly_detection/screw/test/scratch_head/009.png,420.487152,1,Anomaly
scratch_neck,000,datasets/mvtec_anomaly_detection/screw/test/scratch_neck/000.png,420.346405,1,Anomaly
manipulated_front,009,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/009.png,419.236755,1,Anomaly
thread_top,021,datasets/mvtec_anomaly_detection/screw/test/thread_top/021.png,416.917084,1,Anomaly
thread_top,000,datasets/mvtec_anomaly_detection/screw/test/thread_top/000.png,416.544861,1,Anomaly
scratch_head,012,datasets/mvtec_anomaly_detection/screw/test/scratch_head/012.png,415.997498,1,Anomaly
manipulated_front,021,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/021.png,415.852509,1,Anomaly
thread_side,007,datasets/mvtec_anomaly_detection/screw/test/thread_side/007.png,415.357117,1,Anomaly
thread_side,011,datasets/mvtec_anomaly_detection/screw/test/thread_side/011.png,415.175720,1,Anomaly
manipulated_front,017,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/017.png,414.646912,1,Anomaly
good,014,datasets/mvtec_anomaly_detection/screw/test/good/014.png,414.551392,0,Normal
thread_side,006,datasets/mvtec_anomaly_detection/screw/test/thread_side/006.png,414.074432,1,Anomaly
scratch_head,014,datasets/mvtec_anomaly_detection/screw/test/scratch_head/014.png,413.781097,1,Anomaly
manipulated_front,002,datasets/mvtec_anomaly_detection/screw/test/manipulated_front/002.png,413.181335,1,Anomaly
