defect_type,image_name,image_path,anomaly_score,label,is_anomaly
defective,011,datasets/mvtec_anomaly_detection/toothbrush/test/defective/011.png,3.436500,1,Anomaly
defective,021,datasets/mvtec_anomaly_detection/toothbrush/test/defective/021.png,3.328588,1,Anomaly
defective,002,datasets/mvtec_anomaly_detection/toothbrush/test/defective/002.png,3.246734,1,Anomaly
defective,028,datasets/mvtec_anomaly_detection/toothbrush/test/defective/028.png,3.100128,1,Anomaly
defective,010,datasets/mvtec_anomaly_detection/toothbrush/test/defective/010.png,3.078009,1,Anomaly
defective,014,datasets/mvtec_anomaly_detection/toothbrush/test/defective/014.png,3.056658,1,Anomaly
defective,022,datasets/mvtec_anomaly_detection/toothbrush/test/defective/022.png,2.897104,1,Anomaly
defective,023,datasets/mvtec_anomaly_detection/toothbrush/test/defective/023.png,2.896091,1,Anomaly
defective,020,datasets/mvtec_anomaly_detection/toothbrush/test/defective/020.png,2.887731,1,Anomaly
good,007,datasets/mvtec_anomaly_detection/toothbrush/test/good/007.png,2.794707,0,Normal
defective,005,datasets/mvtec_anomaly_detection/toothbrush/test/defective/005.png,2.716434,1,Anomaly
defective,007,datasets/mvtec_anomaly_detection/toothbrush/test/defective/007.png,2.691408,1,Anomaly
defective,003,datasets/mvtec_anomaly_detection/toothbrush/test/defective/003.png,2.585487,1,Anomaly
good,004,datasets/mvtec_anomaly_detection/toothbrush/test/good/004.png,2.424013,0,Normal
defective,001,datasets/mvtec_anomaly_detection/toothbrush/test/defective/001.png,2.370149,1,Anomaly
defective,018,datasets/mvtec_anomaly_detection/toothbrush/test/defective/018.png,2.366841,1,Anomaly
good,011,datasets/mvtec_anomaly_detection/toothbrush/test/good/011.png,2.190192,0,Normal
good,001,datasets/mvtec_anomaly_detection/toothbrush/test/good/001.png,2.083838,0,Normal
good,002,datasets/mvtec_anomaly_detection/toothbrush/test/good/002.png,2.064158,0,Normal
good,010,datasets/mvtec_anomaly_detection/toothbrush/test/good/010.png,1.977293,0,Normal
good,008,datasets/mvtec_anomaly_detection/toothbrush/test/good/008.png,1.926479,0,Normal
