defect_type,image_name,image_path,anomaly_score,label,is_anomaly
misplaced,007,datasets/mvtec_anomaly_detection/transistor/test/misplaced/007.png,2.788978,1,Anomaly
misplaced,004,datasets/mvtec_anomaly_detection/transistor/test/misplaced/004.png,2.611990,1,Anomaly
misplaced,002,datasets/mvtec_anomaly_detection/transistor/test/misplaced/002.png,2.546563,1,Anomaly
damaged_case,009,datasets/mvtec_anomaly_detection/transistor/test/damaged_case/009.png,2.349911,1,Anomaly
damaged_case,001,datasets/mvtec_anomaly_detection/transistor/test/damaged_case/001.png,2.347608,1,Anomaly
good,031,datasets/mvtec_anomaly_detection/transistor/test/good/031.png,2.246051,0,Normal
misplaced,008,datasets/mvtec_anomaly_detection/transistor/test/misplaced/008.png,2.201230,1,Anomaly
bent_lead,006,datasets/mvtec_anomaly_detection/transistor/test/bent_lead/006.png,2.003558,1,Anomaly
cut_lead,007,datasets/mvtec_anomaly_detection/transistor/test/cut_lead/007.png,1.855076,1,Anomaly
damaged_case,004,datasets/mvtec_anomaly_detection/transistor/test/damaged_case/004.png,1.813298,1,Anomaly
damaged_case,003,datasets/mvtec_anomaly_detection/transistor/test/damaged_case/003.png,1.800216,1,Anomaly
cut_lead,004,datasets/mvtec_anomaly_detection/transistor/test/cut_lead/004.png,1.799354,1,Anomaly
good,002,datasets/mvtec_anomaly_detection/transistor/test/good/002.png,1.773679,0,Normal
bent_lead,008,datasets/mvtec_anomaly_detection/transistor/test/bent_lead/008.png,1.766382,1,Anomaly
misplaced,001,datasets/mvtec_anomaly_detection/transistor/test/misplaced/001.png,1.624032,1,Anomaly
bent_lead,002,datasets/mvtec_anomaly_detection/transistor/test/bent_lead/002.png,1.545273,1,Anomaly
bent_lead,003,datasets/mvtec_anomaly_detection/transistor/test/bent_lead/003.png,1.543009,1,Anomaly
misplaced,009,datasets/mvtec_anomaly_detection/transistor/test/misplaced/009.png,1.483714,1,Anomaly
damaged_case,000,datasets/mvtec_anomaly_detection/transistor/test/damaged_case/000.png,1.471518,1,Anomaly
good,024,datasets/mvtec_anomaly_detection/transistor/test/good/024.png,1.470733,0,Normal
good,022,datasets/mvtec_anomaly_detection/transistor/test/good/022.png,1.349224,0,Normal
good,044,datasets/mvtec_anomaly_detection/transistor/test/good/044.png,1.342397,0,Normal
good,049,datasets/mvtec_anomaly_detection/transistor/test/good/049.png,1.341821,0,Normal
good,056,datasets/mvtec_anomaly_detection/transistor/test/good/056.png,1.332941,0,Normal
good,029,datasets/mvtec_anomaly_detection/transistor/test/good/029.png,1.323908,0,Normal
good,026,datasets/mvtec_anomaly_detection/transistor/test/good/026.png,1.278045,0,Normal
good,041,datasets/mvtec_anomaly_detection/transistor/test/good/041.png,1.266304,0,Normal
good,052,datasets/mvtec_anomaly_detection/transistor/test/good/052.png,1.250318,0,Normal
good,038,datasets/mvtec_anomaly_detection/transistor/test/good/038.png,1.238803,0,Normal
good,048,datasets/mvtec_anomaly_detection/transistor/test/good/048.png,1.229886,0,Normal
good,028,datasets/mvtec_anomaly_detection/transistor/test/good/028.png,1.226196,0,Normal
good,054,datasets/mvtec_anomaly_detection/transistor/test/good/054.png,1.207432,0,Normal
good,030,datasets/mvtec_anomaly_detection/transistor/test/good/030.png,1.184008,0,Normal
good,027,datasets/mvtec_anomaly_detection/transistor/test/good/027.png,1.181911,0,Normal
good,057,datasets/mvtec_anomaly_detection/transistor/test/good/057.png,1.178495,0,Normal
good,013,datasets/mvtec_anomaly_detection/transistor/test/good/013.png,1.153774,0,Normal
good,020,datasets/mvtec_anomaly_detection/transistor/test/good/020.png,1.130859,0,Normal
good,037,datasets/mvtec_anomaly_detection/transistor/test/good/037.png,1.129908,0,Normal
bent_lead,001,datasets/mvtec_anomaly_detection/transistor/test/bent_lead/001.png,1.109650,1,Anomaly
good,006,datasets/mvtec_anomaly_detection/transistor/test/good/006.png,1.085255,0,Normal
good,007,datasets/mvtec_anomaly_detection/transistor/test/good/007.png,0.998919,0,Normal
good,059,datasets/mvtec_anomaly_detection/transistor/test/good/059.png,0.998491,0,Normal
good,018,datasets/mvtec_anomaly_detection/transistor/test/good/018.png,0.987159,0,Normal
good,021,datasets/mvtec_anomaly_detection/transistor/test/good/021.png,0.972265,0,Normal
good,016,datasets/mvtec_anomaly_detection/transistor/test/good/016.png,0.959383,0,Normal
good,008,datasets/mvtec_anomaly_detection/transistor/test/good/008.png,0.944398,0,Normal
good,033,datasets/mvtec_anomaly_detection/transistor/test/good/033.png,0.923010,0,Normal
good,045,datasets/mvtec_anomaly_detection/transistor/test/good/045.png,0.902195,0,Normal
good,011,datasets/mvtec_anomaly_detection/transistor/test/good/011.png,0.768387,0,Normal
good,034,datasets/mvtec_anomaly_detection/transistor/test/good/034.png,0.753133,0,Normal
