defect_type,image_name,image_path,anomaly_score,label,is_anomaly
scratch,007,datasets/mvtec_anomaly_detection/wood/test/scratch/007.png,173.052841,1,Anomaly
combined,000,datasets/mvtec_anomaly_detection/wood/test/combined/000.png,170.285187,1,Anomaly
hole,000,datasets/mvtec_anomaly_detection/wood/test/hole/000.png,169.668564,1,Anomaly
combined,003,datasets/mvtec_anomaly_detection/wood/test/combined/003.png,169.463745,1,Anomaly
hole,003,datasets/mvtec_anomaly_detection/wood/test/hole/003.png,167.452606,1,Anomaly
scratch,019,datasets/mvtec_anomaly_detection/wood/test/scratch/019.png,166.154114,1,Anomaly
combined,007,datasets/mvtec_anomaly_detection/wood/test/combined/007.png,164.122925,1,Anomaly
combined,006,datasets/mvtec_anomaly_detection/wood/test/combined/006.png,162.485077,1,Anomaly
hole,005,datasets/mvtec_anomaly_detection/wood/test/hole/005.png,162.262711,1,Anomaly
scratch,005,datasets/mvtec_anomaly_detection/wood/test/scratch/005.png,162.203613,1,Anomaly
scratch,013,datasets/mvtec_anomaly_detection/wood/test/scratch/013.png,161.871567,1,Anomaly
hole,008,datasets/mvtec_anomaly_detection/wood/test/hole/008.png,161.523422,1,Anomaly
scratch,018,datasets/mvtec_anomaly_detection/wood/test/scratch/018.png,161.434372,1,Anomaly
scratch,002,datasets/mvtec_anomaly_detection/wood/test/scratch/002.png,160.831207,1,Anomaly
combined,009,datasets/mvtec_anomaly_detection/wood/test/combined/009.png,160.775208,1,Anomaly
color,001,datasets/mvtec_anomaly_detection/wood/test/color/001.png,160.472641,1,Anomaly
color,003,datasets/mvtec_anomaly_detection/wood/test/color/003.png,159.631149,1,Anomaly
combined,005,datasets/mvtec_anomaly_detection/wood/test/combined/005.png,159.411591,1,Anomaly
scratch,014,datasets/mvtec_anomaly_detection/wood/test/scratch/014.png,158.955811,1,Anomaly
color,006,datasets/mvtec_anomaly_detection/wood/test/color/006.png,157.989609,1,Anomaly
liquid,003,datasets/mvtec_anomaly_detection/wood/test/liquid/003.png,156.766022,1,Anomaly
liquid,009,datasets/mvtec_anomaly_detection/wood/test/liquid/009.png,156.535065,1,Anomaly
liquid,004,datasets/mvtec_anomaly_detection/wood/test/liquid/004.png,155.953751,1,Anomaly
scratch,000,datasets/mvtec_anomaly_detection/wood/test/scratch/000.png,155.389847,1,Anomaly
scratch,011,datasets/mvtec_anomaly_detection/wood/test/scratch/011.png,155.310730,1,Anomaly
color,002,datasets/mvtec_anomaly_detection/wood/test/color/002.png,154.978882,1,Anomaly
scratch,017,datasets/mvtec_anomaly_detection/wood/test/scratch/017.png,154.909546,1,Anomaly
scratch,016,datasets/mvtec_anomaly_detection/wood/test/scratch/016.png,154.654938,1,Anomaly
liquid,000,datasets/mvtec_anomaly_detection/wood/test/liquid/000.png,154.435944,1,Anomaly
scratch,001,datasets/mvtec_anomaly_detection/wood/test/scratch/001.png,149.718811,1,Anomaly
good,008,datasets/mvtec_anomaly_detection/wood/test/good/008.png,149.286835,0,Normal
good,007,datasets/mvtec_anomaly_detection/wood/test/good/007.png,144.412766,0,Normal
good,013,datasets/mvtec_anomaly_detection/wood/test/good/013.png,143.352112,0,Normal
good,010,datasets/mvtec_anomaly_detection/wood/test/good/010.png,143.195374,0,Normal
good,017,datasets/mvtec_anomaly_detection/wood/test/good/017.png,137.514435,0,Normal
good,018,datasets/mvtec_anomaly_detection/wood/test/good/018.png,137.409363,0,Normal
good,005,datasets/mvtec_anomaly_detection/wood/test/good/005.png,133.602142,0,Normal
good,004,datasets/mvtec_anomaly_detection/wood/test/good/004.png,130.539734,0,Normal
good,001,datasets/mvtec_anomaly_detection/wood/test/good/001.png,126.892242,0,Normal
good,002,datasets/mvtec_anomaly_detection/wood/test/good/002.png,126.500122,0,Normal
